Product ID,Supplier Part ID,Supplier Color,Decoration Code,Decoration Color,Decoration Location,Final Image Name,Supplier Name,Location As per Word file
360095A0119729,240M,Silver,9904775_7811730,Full Color,Left Hip Right Hip,240MFSilver-9904775_7811730.jpg,Welspun,1. LEFT-HIP-RIGHT-HIP
360095A0119729,240M,Silver,9904775_7811731,Black,Full Front,240MFSilver-9904775_7811731.jpg,Welspun,2. FULL-FRONT
360095A0119729,4993KL,Anthracite,9904775_7811732,White,LEFT BICEP RIGHT BICEP RIGHT CHEST,4993KLFAnthracite-9904775_7811732.jpg,Raymond,3. LEFT-BICEP
360095A0119729,4993KL,Black,9904775_7811732,White,RIGHT BICEP,4993KLFBlack-9904775_7811732.jpg,Raymond,4. RIGHT-BICEP
360095A0119729,4993KL,Blue Sapphire,9904775_7811730,Full Color,LEFT CHEST,4993KLFBlueSapphire-9904775_7811730.jpg,Raymond,5. LEFT-CHEST
360095A0119729,4993KL,Blue Sapphire,9904775_7811731,Black,RIGHT CHEST,4993KLFBlueSapphire-9904775_7811731.jpg,Raymond,6. RIGHT-CHEST
360095A0119729,4993KL,Blue Sapphire,9904775_7811732,White,LEFT COLLAR,4993KLFBlueSapphire-9904775_7811732.jpg,Raymond,7. LEFT-COLLAR
360095A0119729,4993KL,Midnight Navy,9904775_7811730,Full Color,RIGHT COLLAR,4993KLFMidnightNavy-9904775_7811730.jpg,Raymond,8. RIGHT-COLLAR
360095A0119729,4993KL,Midnight Navy,9904775_7811731,Black,LEFT CUFF,4993KLFMidnightNavy-9904775_7811731.jpg,Raymond,9. LEFT CUFF
360095A0119729,4993KL,Midnight Navy,9904775_7811732,White,RIGHT CUFF,4993KLFMidnightNavy-9904775_7811732.jpg,Raymond,10. RIGHT-CUFF
360095A0119729,4993KL,Varsity Red,9904775_7811730,Full Color,LEFT HIP,4993KLFVarsityRed-9904775_7811730.jpg,Raymond,11. LEFT-HIP
360095A0119729,4993KL,Varsity Red,9904775_7811731,Black,RIGHT HIP,4993KLFVarsityRed-9904775_7811731.jpg,Raymond,12. RIGHT-HIP
360095A0119729,4993KL,Varsity Red,9904775_7811732,White,LEFT SLEEVE,4993KLFVarsityRed-9904775_7811732.jpg,Raymond,13. LEFT-SLEEVE
360095A0119729,4993KL,White,9904775_7811730,Full Color,RIGHT SLEEVE,4993KLFWhite-9904775_7811730.jpg,Raymond,14. RIGHT-SLEEVE
360095A0119729,11150,Wine,9904775_7811731,Black,LEFT THIGH HIGH,11150FWine-9904775_7811731.jpg,Welspun,15. LEFT-THIGH-HIGH
360095A0119728,11150,Wine,9904775_7811730,Full Color,RIGHT THIGH HIGH,11150FWine-9904775_7811730.jpg,Welspun,16. RIGHT THIGH-HIGH
360095A0119728,240M,Silver,9904775_7811731,Black, BACK YOKE,240MFSilverSS-9904775_7811731.jpg,Welspun,17. BACK-YOKE
360095A0119728,240M,Silver,9904775_7811736,Tone On Tone,LEFT CHEST,240MFSilverSS-9904775_7811736.jpg,Welspun,18. LEFT CHEST
