epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.852,2.85262,5.19415,2.72833,0.00179,0.00521,0.00104,0.00049,2.51486,4.33008,2.94072,0.09109,9e-05,9e-05
2,28.1992,2.27907,4.49259,2.36455,0.02328,0.06007,0.04284,0.01826,2.31155,3.90733,2.72865,0.08119,0.000189979,0.000189979
3,33.126,2.09781,3.98618,2.24769,0.05678,0.01806,0.032,0.02319,1.93191,4.36473,2.39183,0.0712899,0.000289874,0.000289874
4,37.8987,2.03167,3.51222,2.1556,0.0312,0.08576,0.05034,0.03166,1.99354,4.27494,2.39847,0.0613896,0.000389619,0.000389619
5,42.8279,1.9767,3.07675,2.14114,0.08908,0.12004,0.10372,0.06322,1.89905,4.47123,2.32586,0.0514891,0.000489149,0.000489149
6,47.618,1.99983,2.8636,2.13591,0.20529,0.16538,0.18911,0.10697,1.70617,4.22492,2.20863,0.0415884,0.0005884,0.0005884
7,52.405,1.96974,2.68193,2.16176,0.19181,0.19091,0.18097,0.09561,1.71118,4.05594,2.38748,0.0316873,0.000687307,0.000687307
8,56.9661,1.89094,2.5367,2.12202,0.21027,0.38686,0.29584,0.14358,1.638,3.26097,2.21209,0.0217858,0.000785805,0.000785805
9,61.9339,1.83776,2.35769,2.06745,0.49889,0.29077,0.33548,0.19013,1.58024,2.63037,2.15194,0.0118838,0.000883831,0.000883831
10,66.7638,1.8259,2.31782,2.06894,0.41146,0.35045,0.36487,0.20703,1.59627,2.49321,2.2915,0.00198132,0.00098132,0.00098132
11,71.5612,1.76367,2.18688,2.01486,0.30081,0.38988,0.33483,0.17504,1.67095,2.862,2.40155,0.000989183,0.000989183,0.000989183
12,76.075,1.74965,2.12444,2.05767,0.35473,0.37684,0.32071,0.15776,1.67446,2.84392,2.24944,0.000986922,0.000986922,0.000986922
13,80.6651,1.77231,2.11616,2.01193,0.40041,0.46717,0.38752,0.21446,1.56169,2.29992,2.22536,0.000984449,0.000984449,0.000984449
14,85.4565,1.82704,2.09655,2.05337,0.45185,0.55123,0.45717,0.24873,1.49632,2.02509,2.07534,0.000981765,0.000981765,0.000981765
15,90.3099,1.74849,2.03116,1.99579,0.39727,0.5749,0.47254,0.28715,1.45405,1.8873,2.11118,0.000978873,0.000978873,0.000978873
16,95.0586,1.71668,1.96907,1.98373,0.53578,0.51163,0.4835,0.27041,1.45506,2.01629,2.09501,0.000975773,0.000975773,0.000975773
17,99.6234,1.7065,1.98457,2.00064,0.39675,0.49942,0.43405,0.249,1.46514,2.04506,2.12477,0.000972466,0.000972466,0.000972466
18,104.217,1.71775,1.92873,1.98151,0.40241,0.57087,0.48822,0.2673,1.4382,1.87972,2.14389,0.000968955,0.000968955,0.000968955
19,108.808,1.65202,1.84045,1.95683,0.42199,0.6089,0.50744,0.29875,1.4348,1.80448,2.06598,0.000965239,0.000965239,0.000965239
20,113.711,1.69251,1.83213,1.95823,0.49859,0.63083,0.55042,0.30622,1.41345,1.75694,2.1152,0.000961322,0.000961322,0.000961322
21,118.62,1.61723,1.7748,1.89994,0.59553,0.55777,0.53661,0.30795,1.4338,1.73715,2.05632,0.000957205,0.000957205,0.000957205
22,123.487,1.64657,1.74856,1.93913,0.61734,0.54794,0.55821,0.30702,1.45162,1.73828,2.06995,0.000952889,0.000952889,0.000952889
23,127.991,1.64491,1.76952,1.93871,0.49052,0.61159,0.59088,0.33462,1.39851,1.7019,2.01869,0.000948377,0.000948377,0.000948377
24,132.896,1.61449,1.7192,1.90205,0.52537,0.61805,0.59884,0.34465,1.37195,1.60745,2.04586,0.000943671,0.000943671,0.000943671
25,137.777,1.60136,1.73272,1.89619,0.50178,0.63251,0.58376,0.31728,1.43307,1.65843,2.06128,0.000938772,0.000938772,0.000938772
26,142.401,1.61464,1.69341,1.86733,0.55874,0.63791,0.61661,0.35237,1.385,1.62249,2.01834,0.000933683,0.000933683,0.000933683
27,147.209,1.56463,1.61821,1.87701,0.62149,0.60833,0.66754,0.38352,1.38752,1.53223,2.02438,0.000928405,0.000928405,0.000928405
28,152.051,1.57557,1.57657,1.83518,0.69486,0.62199,0.66514,0.36582,1.42637,1.56222,2.00982,0.000922942,0.000922942,0.000922942
29,156.57,1.54846,1.53812,1.81158,0.66456,0.68273,0.71207,0.43492,1.32441,1.4364,1.97572,0.000917296,0.000917296,0.000917296
