epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6058,3.419,7.13765,6.99312,3.1114,4e-05,0.00832,2e-05,1e-05,0,0,0,0,3.90262,35.4183,8.6286,3.80596,0.09109,9e-05,9e-05
2,32.1877,2.85348,4.42858,4.77223,2.18354,0.00138,0.04392,0.00126,0.00034,0,0,0,0,2.58575,49.085,inf,2.43877,0.08119,0.000189979,0.000189979
3,40.7148,2.56568,3.99857,3.64029,1.96359,0.06386,0.05152,0.00685,0.00178,0.06221,0.01114,0.0058,0.00163,2.667,126.737,inf,2.47236,0.0712899,0.000289874,0.000289874
4,48.7715,2.51229,3.82404,3.19479,1.87351,0.11038,0.18022,0.05995,0.02656,0.11,0.14081,0.05,0.01701,2.80635,37.1081,inf,2.632,0.0613896,0.000389619,0.000389619
5,56.9012,2.4071,3.75315,2.88216,1.82151,0.25704,0.15787,0.09299,0.04002,0.30812,0.05687,0.03701,0.01281,2.53115,18.5886,12.4063,2.24761,0.0514891,0.000489149,0.000489149
6,64.1894,2.36046,3.6438,2.77782,1.77624,0.25644,0.1855,0.08871,0.03332,0.41579,0.06957,0.03049,0.00962,2.52721,16.9752,6.75653,2.08829,0.0415884,0.0005884,0.0005884
7,71.0591,2.2993,3.56845,2.64821,1.75187,0.5316,0.11245,0.1434,0.05717,0.52132,0.05084,0.05119,0.01191,2.43418,12.0489,8.32519,2.10846,0.0316873,0.000687307,0.000687307
8,78.4901,2.33412,3.53472,2.59182,1.76394,0.14279,0.13273,0.02927,0.01091,0.01327,0.20646,0.01362,0.00323,2.82968,10.359,6.09993,2.36232,0.0217858,0.000785805,0.000785805
9,85.0857,2.24921,3.44649,2.49552,1.73627,0.54551,0.11927,0.09746,0.03928,0.32675,0.14103,0.05555,0.01632,2.4539,7.72063,6.06591,2.09243,0.0118838,0.000883831,0.000883831
10,91.8029,2.25302,3.52226,2.49688,1.71495,0.18069,0.25191,0.10758,0.03714,0.21024,0.17409,0.07556,0.01656,2.49715,6.02813,4.66041,2.07697,0.00198132,0.00098132,0.00098132
11,98.1844,2.20435,3.364,2.38376,1.69156,0.73089,0.18165,0.21476,0.08745,0.72911,0.17816,0.17556,0.05499,2.20872,5.9438,3.51847,1.88509,0.000989183,0.000989183,0.000989183
12,104.687,2.17565,3.3196,2.31484,1.71577,0.50226,0.23857,0.17155,0.06127,0.4768,0.21658,0.13956,0.04343,2.3844,5.73367,3.35779,1.95018,0.000986922,0.000986922,0.000986922
13,110.767,2.17319,3.29011,2.27107,1.68483,0.47798,0.30354,0.20996,0.08415,0.47279,0.28191,0.17723,0.06337,2.23628,5.67261,2.93188,1.82364,0.000984449,0.000984449,0.000984449
